ref_no,Distribution and Delivery,TV Everywhere,Post Production,Management and Systems,Product Description,Acquisition / Production,Product Image,Internet of Things (IoT),Enterprise / Mobility Solutions,Smart Cities,Cloud / Big Data / Data Centre,Security / Cyber-Security,eSports,Broadband & Infrastructure,Group,Country,booth_no,Others,company_desc,company_name,company_url,Professional Audio / Radio,Connect Everywhere,Product Name,Exhibit Sector,SatComm,Digital Display,show
2019CTA-000840,,,Workflow Software and Solutions – Post Production;,Cloud;Digital Media Asset Management and Storage;IP Broadcasting;Newsroom Automation / TV Automation Systems;Workflow Software and Solutions – Management & Systems;Playout / Transmission;,"Cinegize uses Cinegy‘s Daniel2 GPU encoding technology to provide extremely low latency KVM-Over-IP. The move to 8K signifies massive scalability and efficiency because any machine that can handle 8K can also handle 16 channels of HD. A particularly attractive application is eSport. Many video sources are signals from PCs and workstations running a wide range of applications – CAD/CAM, VR, 3D design, GIS, medical, etc. – and large KVM matrices and recently IP replacements manage relay and switching of signals. With Cinegy’s GPU codec technology, this process can be radically simplified and expensive hardware-based KVM solutions are obsolete.;Cinegy® Air PRO 8K™ has been optimized to be easily scalable both locally and in the cloud. The highly-optimized GPU pipeline technology enables 8K operations - or alternatively 4 UHD or 16 HD channels – to be run on affordable mid-size servers or AWS or Azure GPU-equipped cloud instances that would be impossible to achieve solely with CPU technology. The GPU use is not limited to character generation and branding. It is also used for decoding, scaling, color space conversion, mixing, effects, and finally encoding when the result is output as stream. This makes it the most scalable solution available.;",4K / UHD / HDR;Video / TV Display / Multi Viewers;Live Production;,https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190510002516061.jpg;https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190510002956948.jpg;,,,,,,Create;Delivery;Management;Process;,,0a1250d6-323b-e911-95db-d89d671c94cf,GERMANY,4F2-03,,"Cinegy develops software solutions for collaborative workflow encompassing IP, capture, editing and playout services tools, integrated into an active archive for full digital asset management. Either SaaS, virtualizable stacks, cloud or on-premises, Cinegy is COTS using standard IT hardware, and non-proprietary storage technology. Cinegy products are reliable, affordable, scalable, easily deployable, intuitive and 8K capable. Cinegy is truly Software Defined Television.",Cinegy GmbH,,,,Cinegize;Cinegy® Air PRO 8K™ ;,BCA;,,,2019CTA
2019CTA-000221,"Antennas, Transmitters and Towers;Video Transport;",,,IP Broadcasting;,"Support 4 full-HD video channels transmission simultaneously. Up to 500m transmission distance. 4 transmitters operate in 1 RF channel, multiple RF channels are available.  Ultra low latency, meet the needs of professional scenes.  Support 4*4 MIMO and beamforming ,enhance anti-interference capability. Support Tally, timecode, start /stop recording trigger.  Support IP streaming (RTSP).;Support 2 full-HD video channels transmission simultaneously. Up to 700m transmission distance. 4 transmitters operate in 1 RF channel, multiple RF channels are available.  Ultra low latency, meet the needs of professional scenes.  Support 4*4 MIMO and beamforming ,enhance anti-interference capability. Support Tally, timecode, start /stop recording trigger.  Support IP streaming (RTSP).;",,https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190314114225312.jpg;,,,,,,,,0a1250d6-323b-e911-95db-d89d671c94cf,CHINA,6R3-01,,"Since establishment in 2010, CVW has invested heavily in developing and manufacturing state of the art wireless video systems for multiple applications and markets such as professional video production, medical, UAV, education and other. CVW has developed its unique & leading edge intellectual property, scores of patents were filed and approved in the various wireless video-audio technologies segments such as high robustness, long range, low latency, low-power systems.","SHENZHEN CRYSTAL VIDEO TECHNOLOGY CO.,LTD.",,,,BeamLink-Quad;,BCA;,,,2019CTA
2019CTA-000261,"4K / UHD / HDR;Cloud Broadcasting / OTT;Connected / Digital / Smart TV Solutions;Digital Rights Management;Digital Video Broadcasting (DVB);Encoder / Decoder;HbbTV / IPTV / IP Video / Broadband Video;Interactive Multi Platform – TV, Laptop, Mobile and Tablets;Video on Demand;Video Transport;Workflow Software and Solutions – Distributions;",Analytics;Ad Insertion;Create;Delivery;Ingest;Integration;Management;Monetise;Process;Store;Security;,,Cloud;Content Security / Right Management;Digital Media Asset Management and Storage;IP Broadcasting;Workflow Software and Solutions – Management & Systems;Systems Integration - Management & Systems;Video / Content Servers / Video Processing;Playout / Transmission;,"At Tulix we operate our own TulixCDN. We run our own data centers and have direct control over the entire CDN infrastructure. What our Multi-CDN strategy does is use a second and third CDN to provide redundancy, so you can be sure that your content will not experience brown-outs. 

Previously to support a Multi-CDN architecture you may have had to spend quite a lot of time configuring this. With Tulix, we have automated and managed services to ensure you are building a sustainable and efficient Multi-CDN approach. Our Multi-CDN architecture is built with nodes, to create a highly optimised delivery.;Monetize your streamed content on all devices using our End-To-End OTT Solution. From source acquisition and ingest, to delivery via our own CDN, and everything in between. Tulix provides a complete End-to-End solution to enable you to monetize your content effectively. Our pre-built building blocks mean that we can design and build a full OTT platform for all devices within 6 weeks. And our team of experts can guarantee you fast approval on all platforms so there are no delays in your go-to-market plans. 
;",,https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190503192301732.jpg;https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190503192503001.jpg;,,,,,,Delivery;Management;Monetise;,,0a1250d6-323b-e911-95db-d89d671c94cf,USA,6K4-08,,"Tulix is a streaming technology incubator that supports innovators, investors, and enterprises by providing guidance and resources on strategy, infrastructure, technology, and business models across the whole streaming eco-system. Tulix provides complete 360° managed streaming solutions from its data centers in the United States and Europe. The company operates its own streaming-optimized content delivery network (CDN).","TULIX SYSTEMS, INC.",,,,Tulix Multi-CDN;End-to-End OTT;,BCA;,,,2019CTA
2019CTA-000489,"4K / UHD / HDR;Antennas, Transmitters and Towers;Cable and Satellite;Cloud Broadcasting / OTT;Connected / Digital / Smart TV Solutions;Content Security;Digital Rights Management;Digital Video Broadcasting (DVB);DTV / HDTV;Encoder / Decoder;HbbTV / IPTV / IP Video / Broadband Video;Interactive Multi Platform – TV, Laptop, Mobile and Tablets;Microwave / RF Accessories;Set-Top Boxes;Test & Measurement Equipment and Solutions;Video on Demand;Video Transport;Workflow Software and Solutions – Distributions;Others;",Analytics;Ad Insertion;Create;Delivery;Ingest;Integration;Management;Monetise;Process;Store;Security;,CG Animation;Colour Grading / Restoration;Digital Intermediate;Video Editing;Format Conversion;Mastering and Duplication;Motion Graphics ;Graphics Subtitling and Captioning;System Integration – Post Production;VFx Compositing;Workflow Software and Solutions – Post Production;Others;,Cloud;Content Security / Right Management;Digital Media Asset Management and Storage;IP Broadcasting;IT / Networking Infrastructure & Security;Newsroom Automation / TV Automation Systems;Workflow Software and Solutions – Management & Systems;Signal Management & Processing;Systems Integration - Management & Systems;Video / Content Servers / Video Processing;Playout / Transmission;Others;,"Cloud.X is a cloud-based content management & playout solution provides substantial benefits to broadcasters & service providers. Cloud.X provides detailed, real-time insight into all content-related activities throughout the broadcast chain, including storage, media, playlist, graphics, playout, delivery etc. By having all content available in the cloud, and with controlled and secure access to the Cloud.X, all stakeholders have complete visibility of entire automation process. ;A unique IP based content delivery mechanism for broadcasters and content owners. ;",4K / UHD / HDR;Sportscasting;Live Production;Workflow Software and Solutions – Acquisition;Virtual Reality;,https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190506201621946.jpg;https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190506171811289.jpg;,,,,,,Create;Delivery;Integration;Management;Monetise;Process;Hardware;,,0a1250d6-323b-e911-95db-d89d671c94cf,INDIA,4C2-01,,"Planetcast is a key market player in providing technology-led managed services to the broadcasting industry in India & neighboring countries with rapidly growing footprint across Southeast Asia.Planetcast provides comprehensive, customized solutions across content management operations (including content storage, enrichment and automated play-out) and distribution (including satellite broadcasting/ up-linking, digital streaming and cloud distribution). We are proud that we are held in high esteem in the outsourced distribution and play-out services segment in India.",PLANETCAST MEDIA SERVICES LTD,,System Integration – Professional Audio / Radio;,,Cloud.X;PLANETCASTER ;,BCA;,,,2019CTA
2019CTA-000206,"4K / UHD / HDR;Antennas, Transmitters and Towers;Cable and Satellite;Cloud Broadcasting / OTT;Connected / Digital / Smart TV Solutions;Content Security;Digital Video Broadcasting (DVB);DTV / HDTV;Encoder / Decoder;HbbTV / IPTV / IP Video / Broadband Video;Interactive Multi Platform – TV, Laptop, Mobile and Tablets;Microwave / RF Accessories;Set-Top Boxes;Test & Measurement Equipment and Solutions;Video on Demand;Video Transport;",Analytics;Ad Insertion;Create;Delivery;Integration;Management;Process;Store;Security;,Digital Intermediate;Video Editing;Format Conversion;Motion Graphics ;System Integration – Post Production;,Content Security / Right Management;Digital Media Asset Management and Storage;IP Broadcasting;IT / Networking Infrastructure & Security;Newsroom Automation / TV Automation Systems;Signal Management & Processing;Systems Integration - Management & Systems;Video / Content Servers / Video Processing;Playout / Transmission;,"TBS8510 Pro real-time multi-channels/format IPTV transcoder is a cost-effective IPTV/OTT headend server, as it supports 30 HD channels or 60 SD channels transcoding, with protocol of UDP, RTP, RTMP, HTTP, HLS, and Media Files. Based on the powerful hardware, it enables to deliver impressive images to various servers, such as Adobe Flash Server, Wowza Server, Windows Media Server, Apples HTTP Live streaming etc.  Besides, it supports to convert media files from their source format into the best-possible-quality streams to each user's specific device  also allows to convert streams to any MPEG-2, MPEG-4 or H.264/H.265 format, bitrate and resolution.;TBS2630 is a professional Multi channel HD H.264/H.265 HDMI encoder, which is our most powerful HD audio and video encoding device with powerful functionality, supports 8/16 channels HDMI stream of H.264/H.265 encoding output and the AAC, Mp3 audio format. From any HDMI input source, it generates H.264/H.265-encoded stream compliant with HTTP/RTSP/RTP/RTMP/UDP protocols and ONVIF. It can be applied to education, health care, IPTV, conference, remote education, news interview, banking, transportation and other industries.;",4K / UHD / HDR;Cable /  Connector;News / Weather / Traffic Services;Sportscasting;Video / TV Display / Multi Viewers;Live Production;,https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/2019012617222348.jpg;https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190126173011924.jpg;,,,,,,Delivery;Integration;Management;Process;Hardware;,,0a1250d6-323b-e911-95db-d89d671c94cf,CHINA,4J3-08,,"TBS Technologies International Ltd. established in 2005, with headquarters in Shenzhen, China, has focused on the digital broadcasting region for 14 years and offer IPTV system solutions, DVB (all standards) solutions for telecommunication and HD&SD video over IP servers solutions. It is committed to providing customers with high quality products. With years of unremitting efforts, TBS has become one of the worldwide leaders in production of IPTV headend provider.",SHENZHEN TURBOSIGHT TECHNOLOGY CO LTD,,Audio Codecs;Audio Mixer / Consoles / Modulator;Audio Production / Networks / Process;Radio Automation Systems / Master Control;,,TBS8510-Pro Multiple Inputs H.264/H.265 IPTV Transcoder;TBS2630 16 channel HD H.264/H.265 HDMI Encoder;,BCA;,,Monitors / Video Display;Projection Technology Projectors;,2019CTA
2019CTA-000469,,,,,"1.The E-Chocolate Camera slider can be controlled both by manually and app. All it need is a motorized module.2. Controlled by the app, the sliding speed is more average. And it can help to shoot videos and time lapse photography.3. With only 23 cm long, it's convenient to take out. Moreover, the sliding distance can be increased to 28 cm with a tripod on.4.With two single button on each side, you can fix the position angle you want by turn around the safety button, and adjust the damping to control slide speed.;1.APP Motorized Slider with wireless connectivity. Amazing power with dual motor design for better remote camera management. 2.Amazing motion time-lapse and video shooting mode, which can be easily programmed and repeated for wide angle shots. 3.Unmatched carrying capacity. YC Electric Track Dolly Slider can handle camera loads up to 44 lbs (20kg) in absolute ground operation. Making it the most powerful motorized slider at this size ever.;",Cable /  Connector;Lighting and Grip;,https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/2019030512273114.jpg;https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190305122342345.jpg;,,,,,,,,0a1250d6-323b-e911-95db-d89d671c94cf,CHINA,6P2-06,,"With the perceptually food-like design in mind and barrier-free communication, YC Onion forge intelligence, innovation and expertise in R&D, sharing tools that span boundaries, cultures and creeds with photographers, filmmakers and cinematic enthusiasts all over the world.",YC ONION NETWORK TECHNOLOGY CO. LTD,,Audio Microphones & Headphones;,,E-Chocolate Camera Slider;Chips Motorized Camera Slider;,BCA;,,,2019CTA
2019CTA-000008,"Antennas, Transmitters and Towers;Microwave / RF Accessories;",,,Systems Integration - Management & Systems;,"The P75 HPA is designed to be the most efficient liquid cooled HP amplifier. Low consumption, compact and easy to maintain, extremely robust (over 5000 amplifiers) and durable.Two different versions available: With single power supply and with redundant plug in power suppliesExtremely high MTBF with fault rate less than 1% /year.Thermal design with amplitude and phase compensated board: really hot pluggable modules, no re-adjustment neededClever liquid cooling plant: works only if needed, coolant flow temperature compensated, maximize efficiency and reliability, minimize operating costs. Up to20kW p.s. / 12 kW rms in one single cabinet .;The SLIM4-01 is the NEW 4 RU Amplifier solution from SYES. It’s the brand new Compact AIR Cooled TV transmitters from the SLIM Line. In its basic configuration the SLIM4-01 it’s composed by one (1) PCM driver and one (1) SLIM4 4RU amplifier.The SLIM4_01 it’s a multimode and multistandard transmitter, transposer and repeater.High efficiency PPT option it’s always included. (PPT: registered proprietary mark, patented).The overall efficiency system goes up to 42%.;",,https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190415232455929.jpg;https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190415233404307.jpg;,,,,,,,,0a1250d6-323b-e911-95db-d89d671c94cf,ITALY,4G2-05,,"SYES successfully manufactures broadcasting equipment since over 30 years.  SYES is the leading company in digital TV & Radio Technologies. We design and manufacture TV, FM and DAB Wide Band Ultra High Efficiency Broadcasting Transmitters, air and liquid cooled.Headquarters in Italy with facilities in Miami (USA), Pouso Allegre (Brazil) and Hannoi (Vietnam)Our commitment: viewer's Satisfaction and effective operation, for the success of your network.",SYSTEM ENGINEERING SOLUTIONS S.R.L. - SYES,,DAB / DAB  / DMB;,,TV Transmitters Liquid Cooled - P75;SLIM 4;,BCA;,,,2019CTA
2019CTA-000432,,,,Workflow Software and Solutions – Management & Systems;Systems Integration - Management & Systems;,"ENTERPRISE is a scalable application which can be tailored for broadcasters who require a comprehensive business solution.ENTERPRISE contains all the features to manage a traffic scheduling and advertising sales operation. ENTERPRISE has a comprehensive advertising sales module supporting complex sales operations, including in-built approvals based on system generated alert/email notifications. An advanced spot scheduler process’ large quantities of spots in a matter of seconds. ENTERPRISE can also manage audience based sales.Planner and scheduling routines handle complex program selection processes with automatic rights checking, censorship rules and media selection;EXPRESS is designed for broadcasters who do not require the level of sophistication and services in our ENTERPRISE solution but still require all of the standard functionality associated with a fully integrated broadcast management system.ESSENTIALS is an entry level channel management application designed for broadcasters who require a comprehensive traffic system at an affordable price.Suitable for all types of broadcaster the ESSENTIALS application contains all of the essential elements needed to run a traffic scheduling operation. Built using a modular structure it is possible to select only those modules that are required.;",,;,,,,,,,,0a1250d6-323b-e911-95db-d89d671c94cf,UK,6J4-01,,"BTS is a leading supplier of Channel Management and Ad-Sales applications worldwide. BTS supports all aspects of broadcast including: program rights, linear and non-linear scheduling, advertising sales and media management. BTS has interfaces with Automation and MAM systems for the ingest, playlist and as-run logs. There are three products to suit all levels of broadcaster: Essentials – for basic requirements. Express – combining simplicity and full functionality. Enterprise – for those with complex requirements.",BROADCAST TRAFFIC SYSTEMS LTD,,,,ENTERPRISE;EXPRESS / ESSENTIALS;,BCA;,,,2019CTA
2019CTA-000036,4K / UHD / HDR;,,,,"The camera employs 2.6 Mega pixel 2/3-inch CMOS image sensors, achieving superior quality HDTV video with horizontal resolution of 1000TVL, SNR of 62dB or more, and sensitivity of F11.;",4K / UHD / HDR;Cameras / Lenses / Tripods / Crane;,https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190122140455513.jpg;,,,,,,,,0a1250d6-323b-e911-95db-d89d671c94cf,SINGAPORE,4R4-01,,"Ikegami is a leading manufacturer of specialized cameras, image processing and transmission equipment. Ikegami was founded in 1946 in Tokyo, Japan. Today around 800 employees are working in 3 factories and 9 sales and service organizations all over the world. Ikegami has consistently created the most advanced products in all image processes, namely image, transmission, processing, recording and display.",IKEGAMI ELECTRONICS ASIA PACIFIC PTE LTD,http://sg.ikegami.co.jp,,,HDK-99: 3G 3-CMOS Full Digital HDTV Camera System;,BCA;,,Monitors / Video Display;,2019CTA
2019CTA-000006,"4K / UHD / HDR;Cloud Broadcasting / OTT;HbbTV / IPTV / IP Video / Broadband Video;Interactive Multi Platform – TV, Laptop, Mobile and Tablets;Video Transport;",Create;Ingest;Process;,Colour Grading / Restoration;Video Editing;Format Conversion;Mastering and Duplication;Graphics Subtitling and Captioning;System Integration – Post Production;Workflow Software and Solutions – Post Production;,IP Broadcasting;Playout / Transmission;,"AJA Video Systems has been a leading manufacturer of video interface technologies, converters, digital video recording solutions and professional cameras, bringing high-quality, cost-effective products to the professional, broadcast and post-production markets. ;Atomos is an Australian based manufacturer of high quality video related recording devices.;",4K / UHD / HDR;Cable /  Connector;Video / TV Display / Multi Viewers;Live Production;Workflow Software and Solutions – Acquisition;Production Switchers;Virtual Reality;,https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190330214132588.tiff;https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190330214233665.tiff;,,,,,,Create;Delivery;Integration;Management;Monetise;Process;Hardware;,,0a1250d6-323b-e911-95db-d89d671c94cf,HONG KONG,4L4-01,,Blonde Robot is an importer and distributor of leading products for the consumer camera and professional content creation markets in over 15 countries throughout Oceania and South East Asia.,BLONDE ROBOT LIMITED,,,,AJA Video Systems;ATOMOS;,BCA;,,,2019CTA
2019CTA-001009,Digital Video Broadcasting (DVB);,,,Newsroom Automation / TV Automation Systems;,"Spectee utilises an effective and unique method of obtaining UGC videos across several social media platforms. Specializing in breaking news and weather-related videos, Spectee is able to supply pertinent news materials to newsrooms worldwide. The main comparative advantage that distinguishes Spectee from its competitors is that it is strategically based in Tokyo, Japan, enabling Spectee to capitalise on the Asian market and provide readied UGC materials for newsrooms in Europe and the Americas before business hours. Spectee also employs an international editorial team, with members based in New York and London, which enables Spectee to operate seamlessly around the clock.;",News / Weather / Traffic Services;,https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190510112445677.jpg;,,,,,,,,0a1250d6-323b-e911-95db-d89d671c94cf,JAPAN,4D4-08,Publications / Media;,"Spectee Inc. is a Tokyo-based online news agency that specializes in curating newsworthy social media videos for mass media enterprises. Spectee's patented AI technology gives broadcasters and publishers real-time access to UGC videos from all over the world. All of Spectee's content is fact-checked and license-cleared by human moderators. Spectee also provides SNS alert service to around 200 clients such as traditional news agencies, public entities, transportation companies, etc., in Japan.",SPECTEE INC.,,,,Spectee.com;,BCA;,,,2019CTA
2019CTA-000046,"Antennas, Transmitters and Towers;Digital Video Broadcasting (DVB);DTV / HDTV;Microwave / RF Accessories;",,,,"Exir Broadcasting specialises in tailor-made solutions and product requirements to meet a customers specific needs. All divisions work closely together to provide quick and dependable solutions.Because of its wide range of products it can offer flexible customized systems for the specific demands. Exir Broadcasting can integrating new equipment into existing facilities, demands qualified technical knowhow and the ability to adapt to individual on-site conditions. The company has a proven track record in designing and installing complex system solutions. It has installed these systems around the world, often integrated with existing equipment.;",,https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190320172324048.jpg;,,,,,,,,0a1250d6-323b-e911-95db-d89d671c94cf,SWEDEN,4H1-06,,"Exir Broadcasting is a Swedish company, formerly Teracom Components. With over 30 years of experience, Exir Broadcasting  is dedicated to provide its customers with high performance solutions for passive RF components that covers the components required between the transmitters to the antenna. Its main product categories are filters, combiners, rigid line and accessories, patch panels and customized systems. Exir Broadcasting also provides solutions for Analogue and DTT TV-standards as well as for FM and DAB.",EXIR BROADCASTING AB,,DAB / DAB  / DMB;,,Passive customized combiner system;,BCA;,,,2019CTA
2019CTA-000460A,4K / UHD / HDR;,,,IP Broadcasting;,"PL-E60 is specially designed for field portable lighting applications. 320pcs SMD-LEDs are mounted in the inner edge of the light frame, and with SWIT unique 90° light guide technology, PL-E60 can output bright, soft and equally spread light, meanwhile, the light body is slim enough and portable, which is an ideal light source for interview kit and field video productions.;SW-M150 wireless system is based on WHDI wireless technology, 5.1-5.9GHz license free bands, DFS comply, , supports uncompressed 3G/HD-SDI and HDMI (Max 1080p60) to transmit 150 meters (Line-of-Sight) distance, and less than 1 millisecond latency. The system is pure hardware connection, plug and play, which is widely used in director monitoring, drone, ropeway camera, steadicam etc.;",4K / UHD / HDR;Lighting and Grip;Video / TV Display / Multi Viewers;,https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190312152650246.jpg;https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190312152824307.jpg;,,,,,,,,0a1250d6-323b-e911-95db-d89d671c94cf,CHINA,6Q2-04,,"Founded in 1996, specialized in developing and manufacturing broadcast industry products, including HD video monitoring, conversion and transmission, Broadcast camera power solutions, on-camera lightings and studio lightings.SWIT owns an independent R&D center and has established the Graduate Workstation of Jiangsu Province. At present, SWIT has more than 40 patents licensed by domestic and abroad. Over the years, SWIT has gained great reputation worldwide for its outstanding and innovative products.","SWIT ELECTRONICS CO., LTD",,,,PL-E60;SW-M150;,BCA;,,Monitors / Video Display;,2019CTA
2019CTA-001022,"4K / UHD / HDR;Antennas, Transmitters and Towers;Cable and Satellite;Cloud Broadcasting / OTT;Connected / Digital / Smart TV Solutions;Content Security;Digital Rights Management;Digital Video Broadcasting (DVB);DTV / HDTV;Encoder / Decoder;HbbTV / IPTV / IP Video / Broadband Video;Interactive Multi Platform – TV, Laptop, Mobile and Tablets;Microwave / RF Accessories;Set-Top Boxes;Test & Measurement Equipment and Solutions;Video on Demand;Video Transport;Workflow Software and Solutions – Distributions;",Analytics;Ad Insertion;Create;Delivery;Integration;Management;Monetise;Process;Store;Security;,Video Editing;Format Conversion;Graphics Subtitling and Captioning;System Integration – Post Production;Workflow Software and Solutions – Post Production;,Cloud;Content Security / Right Management;Digital Media Asset Management and Storage;IP Broadcasting;IT / Networking Infrastructure & Security;Newsroom Automation / TV Automation Systems;Workflow Software and Solutions – Management & Systems;Signal Management & Processing;Systems Integration - Management & Systems;Video / Content Servers / Video Processing;Playout / Transmission;,"Asia-Pacific Broadcasting (APB) is the  leading voice of broadcast and multimedia news in the Asia-Pacific region since 1983. As the main source of industry news for C-suite professionals, the publication has become an integral part of the Asia-Pacific sector.  APB is a reliable avenue for reports on best practices in production workflows, system integration and best-of-breed equipment. APB aims to bring you “News You Can Use” through active  participation in major trade shows  such as NAB, IBC, BIRTV, BroadcastAsia, CCBN, InterBEE, Broadcast India, KOBA, APSCC, and many more.;Asia Pacific Broadcasting (APB) will send out a curated News Bulletin before 7am each morning.  The News Bulletin is an early morning alert to highlight what's hot, what's cool in the exhibition halls.  Trade visitors can access the electronic News Bulletin on their mobiles.  It will focus on product launches, demos and important announcements.  This value-added service is to alert trade visitors to what's happening at the exhibition halls.  Interviews will be conducted with exhibitors and trade buyers during CTA2019 and publish curated reports as part of it News Bulletin each day before 7am.;",4K / UHD / HDR;Cable /  Connector;Cameras / Lenses / Tripods / Crane;Drones / Aerial Production;Lighting and Grip;Motion Capture / Virtual Production;News / Weather / Traffic Services;Sportscasting;Video / TV Display / Multi Viewers;Live Production;Workflow Software and Solutions – Acquisition;Production Switchers;Virtual Reality;,https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190514114220785.png;https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190514114252848.jpg;,,,,,,Create;Delivery;Integration;Management;Monetise;Process;Hardware;,,0a1250d6-323b-e911-95db-d89d671c94cf,SINGAPORE,4S5-07,Associations / Trade Partners;Publications / Media;Government / Agencies;,Asia-Pacific Broadcasting (APB) has been the voice of the broadcast and multimedia industry for the past 36 years.  It brings news of groundbreaking events and features interviews with decision-makers and professionals in the industry.  The publication also tracks and reviews the hottest industry developments and technology trends.  APB has been a partner in other major trade events worldwide.,Editec International Pte Ltd,,Playout;Radio Automation Systems / Master Control;System Integration – Professional Audio / Radio;,,APB Magazine May/June 2019;ConnecTechAsia News Bulletin @7;,;,,Monitors / Video Display;Projection Technology Projectors;,2019CTA
2019CTA-001181,4K / UHD / HDR;Cloud Broadcasting / OTT;Digital Video Broadcasting (DVB);Encoder / Decoder;HbbTV / IPTV / IP Video / Broadband Video;Workflow Software and Solutions – Distributions;,Ingest;,CG Animation;Format Conversion;Graphics Subtitling and Captioning;Workflow Software and Solutions – Post Production;,Cloud;Digital Media Asset Management and Storage;IP Broadcasting;Newsroom Automation / TV Automation Systems;Workflow Software and Solutions – Management & Systems;Playout / Transmission;,"OneGenie: Cloud Ready Channel In a Box, Full SDI&IP compatible, From SD to 4K UHD.OngeGenie proposes a complete Automation with MAM and monitoring (On Air protect, Review files & while recording), On Air Graphics (SD to 4K UHD), Subtitling, Aspect Ratio, Audio description, Audio shuffling, and so on.Multichannel & multi-user, OneGenie supports several simultaneous outputs (SDI   DVB IP   RTP   so on) and is IP SMPTE ST2110 compatible (UHD Q4 2019).With its active redundancy option (n m or 1 1), OneGenie provides a hight level of reliability.;DubMaster:  The most versatile Video Server for production and playout.Compatible SDI/ DVB IP / SMPTE ST 2110 HD (UHD for Q4), From SD to 4K UHD, DubMaster supports for almost all broadcast formats (MPEG2, H264/AVC, HEVC, IMX, AVID DNxHR®, Apple ProRes 422 format support, XAVC class 300 (UHD), JPEG2000, DV/DVCPro100, Uncompressed YUV422, DPX).DubMaster proposes an automation and real-time capture scheduling ""Set&go"", multiple encoding, Crash record & batch recording, compatibility with AMP®, VDCP and open JSON protocols, …DubMaster: Versatile, scalable and reliable;",4K / UHD / HDR;News / Weather / Traffic Services;Live Production;Workflow Software and Solutions – Acquisition;,https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190522184816835.jpg;https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190522184946947.jpg;,,,,,,,,0a1250d6-323b-e911-95db-d89d671c94cf,FRANCE,4H2-03,,"ANYWARE VIDEO is specialized in broadcast industry for 20 years and provides all required products (Automation, Channel In a Box, Ingest & Playout Broadcast Video Server, Compliance recording, …) for TV Channels (CNBC, ABC, Al-Jazeera, MOCI, EPTV, Canal , France Media Monde, …), for Stock Channels (TDF Group, AB Group, …), for Regulatory Authorities, Radios and the Broadcasters. We provide all our interfaces as a Web client - Cloud Ready.",Anyware Video,,,,OneGenie - Channel In a Box;DubMaster - Production&Playout Video Server;,;,,,2019CTA
2019CTA-000619,,,,,"The ABS backgrounds of us, they belong to one-step molding, and size ruling. Using them can save a great deal of manpower, resources and time. There are so many advantages: light, install easy, without color difference, without reflecting light and so on.;Professional tripod: More convenient to move High strength and portable-type structure: Integrated aviation aluminum structure whose stents with high precision slideway after oxidation technology is durable and light that can be connected or fixed with all kinds of cameras and tripods.Professional software design comes with mirroring function, visual clarity, stable text, bright images, high resolution, large character, high brightness, Jitter-free.Wide compatibility: Support Windows xp, Windows 7, Windows 10.Control ways: Manual control, wireless remote control. It could be controlled ;",,https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/20190307110514293.jpg;https://oemfile.ubmasia.com/FileUpload/2019CTA_14453/2019030711105167.jpg;,,,,,,,,0a1250d6-323b-e911-95db-d89d671c94cf,CHINA,6P1-01,,"Zhengzhou Taiying Video Equipment Co., Ltd. is engaged in developing, manufacturing, makrking and installing film & television products. In line with the principles of cooperation and mutual benefits, we sincerely provide all our customers with high quality products at most favorable prices.T&Y range of lighting products is the most comprehensive, spanning from LED on-camera video lights, through protable led camera video light, led studio studio lights, led fresnel spotlights, HMI film shooting lights, tungsten light,",ZHENGZHOU TAIYING VIDEO EQUIPMENT CO LTD,,,,The ABS background of Vitural Stiduo;Teleptompter;,BCA;,,,2019CTA
